	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
0	0	-122.41766899999999	22.537566	-7256270.276000001	1335907.409	357	22.507332	-122.44148600000001	22.547736999999998	-122.392036	3093.623246	22.542753	-122.441273	-7257669.411	1336214.88	447	0	Vent	0		3608.1617309109993	1.1663222842588503	1	Equant	83.0	0.0	0.0
1	1	-109.17002099999999	15.953844	-6471019.993	945659.2855	1974	15.894688	-109.182354	16.006522	-109.16593600000002	210.639258	15.980351	-109.168023	-6470901.517999999	947230.4915	1976	0	Vent	1	8.032230778224966	6682.438403175748	31.724562964306244	0	NotEquant	64.0	1.0	1.0
2	2	-110.249233	14.853639999999999	-6534989.927	880445.0077	1998	14.858482999999998	-110.27728400000001	14.846824	-110.215418	301.512998	14.86311	-110.28473400000001	-6537094.271000001	881006.3542	2012	0	Vent	2	-78.97537790219899	3604.724366559291	11.955452635442573	0	NotEquant	29.0	1.0	1.0
3	3	-107.88818	14.809409	-6395039.259	877823.2176	1799	14.79471	-107.89153400000001	14.827785	-107.886299	278.26734799999997	14.823828	-107.894462	-6395411.609	878677.9311	1805	0	Vent	3	8.699113692782072	1979.7150224871414	7.114435224671569	0	NotEquant	1.0	1.0	1.0
4	4	-107.971581	14.162199	-6399982.786	839460.0791	1726	14.168029	-108.009652	14.140426999999999	-107.94921399999998	432.080908	14.160534	-107.99670800000001	-6401472.187999999	839361.3498	1728	0	Vent	4	-64.78702817695812	3832.7033859302005	8.87033727935556	0	NotEquant	17.0	1.0	1.0
5	5	-108.58310900000001	14.762692000000001	-6436230.955	875054.0739	1944	14.761859	-108.59191299999999	14.74782	-108.57835	901.261717	14.753601999999999	-108.597862	-6437105.414	874515.2941	1948	0	Vent	5		1136.7338255375569	1.2612694005481173	1	Equant	76.0	1.0	1.0
6	6	-111.21054	21.725431	-6591971.136	1287768.337	2606	21.716507999999997	-111.233621	21.720791000000002	-111.19864299999999	960.457591	21.721957	-111.231099	-6593189.737000001	1287562.416	2769	0	Vent	6	82.48494295389875	1939.2484296903783	2.019088034559954	0	NotEquant	1.0	2.0	2.0
7	7	-110.79363400000001	20.175055	-6567259.132999999	1195870.305	2747	20.188499	-110.80196200000002	20.152569	-110.79458600000001	883.765234	20.175579	-110.80771999999999	-6568094.101	1195901.334	2882	0	Vent	7	-10.908354052966871	2164.967572367949	2.449708914854133	0	NotEquant	164.0	2.0	2.0
8	8	-111.16456200000002	20.484447	-6589245.762	1214209.383	2748	20.416513000000002	-111.2319	20.549049	-111.095795	578.529455	20.464316	-111.19968200000001	-6591327.54	1213016.169	2775	0	Vent	8	43.86674323233856	10881.206300414002	18.808387725762387	0	NotEquant	49.0	2.0	2.0
9	9	-110.52492	20.750204	-6551331.222999999	1229962.043	2769	20.649077	-110.654779	20.838839	-110.39958200000001	745.8232830000001	20.823301	-110.40371100000002	-6544146.552	1234294.848	2803	0	Vent	9	51.465357875871696	18040.00110729963	24.188036923083867	0	NotEquant	5.0	2.0	2.0
10	10	-103.787028	3.6532690000000003	-6151944.696	216546.4092	5397	3.644503	-103.794601	3.6410760000000004	-103.779896	236.53434199999998	3.637398	-103.776892	-6151343.857999999	215605.6602	5392	0	Vent	10	-76.85620452338627	891.6485548940855	3.7696367781304483	0	NotEquant	1.0	3.0	3.0
11	11	-101.801897	7.162583000000001	-6034276.646000001	424559.9323	4096	7.016841	-101.890833	7.311894000000001	-101.72308100000001	268.072254	7.019473	-101.89416899999999	-6039746.06	416077.1124	4124	0	Vent	11	29.417351808688743	20043.376856486153	74.76856167474219	0	NotEquant	5.0	4.0	4.0
12	12	-101.935957	6.923828	-6042223.04	410407.7832	4152	6.939400999999999	-101.943072	6.895809	-101.941739	176.302289	6.894037	-101.94071600000001	-6042505.123	408641.9394	4156	0	Vent	12	-1.738840057688634	2580.3812181975127	14.636118639375763	0	NotEquant	12.0	4.0	4.0
13	13	-97.269308	12.646888	-5765608.802999999	749640.4755	3065	12.635332	-97.276341	12.634047	-97.27184399999999	234.422386	12.642033999999999	-97.269498	-5765620.087	749352.7501	3065	0	Vent	13		270.5325478667783	1.1540388803430162	1	Equant	1.0	4.0	4.0
14	14	-104.493347	16.272527	-6193811.521000001	964549.0867	2852	16.270179000000002	-104.482588	16.263635	-104.48270699999999	253.973223	16.263294000000002	-104.478499	-6192931.42	964001.8444	2865	0	Vent	14	1.0001055662698946	387.2456236601745	1.5247498105742214	0	NotEquant	1.0	1.0	1.0
15	15	-127.220743	17.707836999999998	-7540971.083	1049626.665	1060	17.725057999999997	-127.30259299999999	17.659385	-127.15811200000002	224.11897599999998	17.675762	-127.167824	-7537834.312000001	1047725.421	1065	0	Vent	15	-64.51568183451921	9023.596508035824	40.26252782823631	0	NotEquant	28.0	0.0	0.0
16	16	-128.100477	16.685265	-7593117.043	989014.0265	924	16.683356	-128.109475	16.680738	-128.095674	156.581844	16.682885	-128.10523600000002	-7593399.126	988872.9846	926	0	Vent	16	-78.80056397076241	797.3820040023767	5.092429515661961	0	NotEquant	3.0	0.0	0.0
17	17	-127.962217	16.698486	-7584921.694	989797.7347	960	16.698566	-127.97500500000001	16.696008	-127.95828999999999	165.986522	16.700295	-127.973257	-7585576.128	989904.9265	962	0	Vent	17	-80.92481520512706	959.2863699522647	5.779302791537886	0	NotEquant	4.0	0.0	0.0
18	18	-127.867777	15.334392000000001	-7579323.778	908941.4376	1023	15.304797	-127.896152	15.350482999999999	-127.84380300000001	254.364554	15.340007	-127.862256	-7578996.561000001	909274.2963	1026	0	Vent	18	47.850912732926936	4028.611981209507	15.837945648706647	0	NotEquant	7.0	0.0	0.0
19	19	-127.335278	16.369204	-7547760.109	970279.6422	1154	16.387229	-127.357883	16.344161	-127.329449	254.266778	16.370632	-127.34727099999999	-7548470.96	970364.2673	1176	0	Vent	19	-32.35670605311881	3016.4302479471016	11.863249582480263	0	NotEquant	18.0	0.0	0.0
20	20	-127.404001	16.947243	-7551833.642999999	1004542.69	1090	16.944566000000002	-127.429105	16.938498000000003	-127.39103300000001	249.329089	16.934394	-127.387821	-7550874.558999999	1003781.064	1096	0	Vent	20	-80.54622904732838	2184.5406785448504	8.761675933227552	0	NotEquant	1.0	0.0	0.0
21	21	-117.63506100000001	16.292572	-6972782.6389999995	965737.2794	2135	16.189601	-117.669503	16.385014	-117.61953500000001	564.51982	16.276106	-117.62858899999999	-6972399.006	964761.2699	2182	0	Vent	21	13.783216673583954	11905.098959894047	21.088894558022865	0	NotEquant	19.0	1.0	1.0
22	22	-116.42269099999999	17.89499	-6900919.783	1060720.107	2369	17.816007	-116.48562199999999	17.950209	-116.364745	359.172377	17.878357	-116.455527	-6902866.16	1059734.225	2395	0	Vent	22	40.584361782478176	10458.222445239826	29.11755779381616	0	NotEquant	184.0	1.0	1.0
23	23	-115.05055800000001	17.149720000000002	-6819587.027000001	1016544.448	2276	17.115717	-115.11497800000001	17.213573	-114.927001	596.141627	17.160356	-115.066548	-6820534.828	1017174.905	2284	0	Vent	23	61.388918172192845	12101.514260206503	20.299730319296263	0	NotEquant	1.0	1.0	1.0
24	24	-110.19897900000001	30.666667999999998	-6532011.167	1817757.483	3378	30.636776	-110.22307099999999	30.661677	-110.20845	268.53564700000004	30.63583	-110.215398	-6532984.356000001	1815929.58	3382	0	Vent	24	26.796474892469234	1650.6106430030948	6.146709613577278	0	NotEquant	1.0	2.0	2.0
25	25	-112.00416799999999	29.657293	-6639013.182999999	1757927.051	3189	29.636853000000002	-112.00679	29.674544	-112.00393500000001	353.238697	29.644915	-112.012049	-6639480.313999999	1757193.351	3192	0	Vent	25	3.7653945357352385	2234.876849446591	6.3268177253144815	0	NotEquant	14.0	2.0	2.0
26	26	-111.96771399999999	30.040554999999998	-6636852.368	1780644.811	3052	29.966078999999997	-111.956744	30.088026	-111.936816	114.799733	29.981091999999997	-111.957149	-6636226.142000001	1777120.176	3056	0	Vent	26	8.047954505300224	7287.054067908938	63.47622836290863	0	NotEquant	2.0	2.0	2.0
27	27	-109.238413	28.758111	-6475073.887	1704628.352	3550	28.741846000000002	-109.24089599999999	28.762665999999996	-109.242085	537.626597	28.746903999999997	-109.24583700000001	-6475513.937000001	1703964.045	3585	0	Vent	27	-2.8659777497605994	1233.3929023764997	2.294144131370978	0	NotEquant	82.0	2.0	2.0
28	28	-109.539401	28.071327	-6492914.839	1663919.438	3558	28.061202	-109.54479199999999	28.069494	-109.542832	277.103232	28.066259000000002	-109.54371200000001	-6493170.407000001	1663619.019	3564	0	Vent	28	11.781248543219263	501.168260655737	1.8085976732878273	0	NotEquant	4.0	2.0	2.0
29	29	-109.05965	27.857643	-6464477.741	1651253.3469999998	3481	27.849293	-109.06488999999999	27.855003000000004	-109.06828	321.62486	27.854859	-109.073926	-6465323.992000001	1651088.3280000002	3484	0	Vent	29		381.55773604438565	1.1863440408318735	1	Equant	7.0	2.0	2.0
30	30	-109.19018799999999	28.069664000000003	-6472215.391	1663820.869	3529	28.022521	-109.17603100000001	28.106396999999998	-109.21618400000001	264.99354300000005	28.103715	-109.208177	-6473281.668	1665839.178	3553	0	Vent	30	-22.891227052854102	5387.283880121229	20.32986849087575	0	NotEquant	67.0	2.0	2.0
31	31	-108.589876	28.235125	-6436632.055	1673628.465	3471	28.247690999999996	-108.597163	28.220772999999998	-108.59523	204.99643	28.237623	-108.612148	-6437952.206	1673776.5580000002	3480	0	Vent	31	-3.6205483311822775	1595.8324434619512	7.784684072117506	0	NotEquant	17.0	2.0	2.0
32	32	-108.883381	28.161125	-6454029.448	1669242.1530000002	3508	28.087346999999998	-108.912618	28.195612	-108.879306	278.981313	28.221301	-108.86539199999999	-6452963.172	1672809.101	3539	0	Vent	32	15.17198475024632	6637.261188980494	23.79106011656234	0	NotEquant	37.0	2.0	2.0
33	33	-108.8601	28.436336999999998	-6452649.485	1685555.289	3557	28.413953999999997	-108.856475	28.453691	-108.87908	243.16937000000001	28.433696	-108.877232	-6453664.9860000005	1685398.733	3562	0	Vent	33	-26.57074950949294	2628.8702082274963	10.810860793147986	0	NotEquant	65.0	2.0	2.0
34	34	-109.907427	30.067839000000003	-6514729.517999999	1782262.062	3581	30.061017	-109.91223400000001	30.074152	-109.909322	530.221624	30.058431	-109.925416	-6515795.794	1781704.3830000001	3680	0	Vent	34		791.3291930331762	1.4924498685349283	1	Equant	1.0	2.0	2.0
35	35	-109.801449	29.533609000000002	-6508447.65	1750595.755	3802	29.501939	-109.832001	29.546435	-109.79428600000001	409.992859	29.557451	-109.780019	-6507177.427	1752008.994	3845	0	Vent	35	36.40100318733322	3271.2744950359997	7.978857248916132	0	NotEquant	1.0	2.0	2.0
36	36	-109.48695	28.461896000000003	-6489805.815	1687070.271	3505	28.494673	-109.516931	28.466833	-109.486474	209.673756	28.502513	-109.511648	-6491269.829	1689477.855	3519	0	Vent	36	-43.88586616035735	2285.206678775261	10.898868424788752	0	NotEquant	17.0	2.0	2.0
37	37	-109.86113700000001	27.838386	-6511985.677	1650111.9340000001	3685	27.851243	-109.88661100000002	27.827925	-109.835453	508.240086	27.847595000000002	-109.88583600000001	-6513449.692000001	1650657.7659999998	3714	0	Vent	37	-62.74246420172436	3011.1739219910182	5.924707642976076	0	NotEquant	58.0	2.0	2.0
38	38	-110.278994	26.667064	-6536754.01	1580682.1709999999	3458	26.667585	-110.28895800000001	26.66119	-110.275722	605.5361280000001	26.652002000000003	-110.27870800000001	-6536737.085	1579789.376	3467	0	Vent	39		795.5794850362039	1.3138431354441065	1	Equant	40.0	2.0	2.0
39	39	-110.372571	26.314832	-6542300.741	1559803.721	3344	26.319368	-110.371678	26.29245	-110.38149399999999	189.883377	26.315759999999997	-110.365004	-6541852.227999999	1559858.727	3348	0	Vent	40	18.10468222431365	1675.586128134057	8.824290754709176	0	NotEquant	11.0	2.0	2.0
40	40	-109.76361200000001	25.532929	-6506204.876	1513456.63	3415	25.535763	-109.77649299999999	25.524699	-109.76043200000001	870.7262900000001	25.535142	-109.776175	-6506949.576	1513587.799	3423	0	Vent	41		1078.8023640997403	1.238968406592777	1	Equant	72.0	2.0	2.0
41	41	-110.11031200000001	23.041068	-6526755.455	1365752.3490000002	3078	23.025304000000002	-110.118521	23.0466	-110.11328700000001	320.15252999999996	23.020296	-110.112454	-6526882.392999999	1364521.053	3088	0	Vent	42	12.743461354672728	1291.8395561810228	4.035075269219403	0	NotEquant	75.0	2.0	2.0
42	42	-110.17231799999999	22.551214	-6530430.823	1336716.398	2919	22.551631	-110.187071	22.551036	-110.17648200000001	285.239451	22.543004999999997	-110.16989099999999	-6530286.961	1336229.803	2940	0	Vent	43	-86.52029607577292	579.680033740637	2.032257570642418	0	NotEquant	10.0	2.0	2.0
43	43	-110.42201399999999	23.737572	-6545231.471	1407037.429	3086	23.724545000000003	-110.43581499999999	23.73668	-110.419991	483.775538	23.722368	-110.439003	-6546238.51	1406136.1709999999	3104	0	Vent	44	50.04381358431826	1118.0835200562149	2.311161752159976	0	NotEquant	18.0	2.0	2.0
44	44	-110.82486200000001	24.352369	-6569110.145	1443479.3190000001	3071	24.261651999999998	-110.850798	24.433449	-110.80416000000001	218.728552	24.363856	-110.83807900000001	-6569893.632999999	1444160.199	3074	0	Vent	45	13.882417089510016	10470.930275468849	47.87180356531071	0	NotEquant	9.0	2.0	2.0
45	45	-110.631693	25.554308	-6557660.125	1514723.889	3314	25.576556	-110.651204	25.53325	-110.62978899999999	322.93651800000004	25.565658	-110.644256	-6558404.826	1515396.658	3321	0	Vent	46	-24.047609529966707	2805.693327479973	8.688064591939314	0	NotEquant	107.0	2.0	2.0
46	46	-109.82112	27.037823	-6509613.651000001	1602658.7859999998	3529	27.020571999999998	-109.838728	27.072682	-109.79803899999999	256.700008	27.051362	-109.815599	-6509286.433999999	1603461.314	3535	0	Vent	47	34.80685551560928	3755.4407684705398	14.629686994285327	0	NotEquant	2.0	2.0	2.0
47	47	-110.190665	27.746378999999997	-6531518.359	1644658.201	3716	27.736503999999996	-110.19851799999999	27.754588000000002	-110.185193	244.39338500000002	27.737455999999998	-110.19908899999999	-6532017.647000001	1644129.294	3709	0	Vent	48	33.10608313651415	1277.375951984585	5.226720649515881	0	NotEquant	2.0	2.0	2.0
48	48	-109.802424	24.680684	-6508505.487000001	1462940.0880000002	3114	24.726806	-109.81709199999999	24.638289999999998	-109.79996000000001	234.422386	24.721301999999998	-109.795096	-6508071.078	1465347.6719999998	3123	0	Vent	49	-9.97782659960157	5317.567509468584	22.683701843511585	0	NotEquant	1.0	2.0	2.0
49	49	-109.619677	24.305841	-6497673.183999999	1440721.4	3153	24.309721	-109.621821	24.292685000000002	-109.622726	296.187846	24.308197	-109.620676	-6497732.422	1440861.032	3153	0	Vent	50	2.772044692089679	1009.1439360043914	3.4071078527793186	0	NotEquant	5.0	2.0	2.0
50	50	-109.69773	23.634677	-6502299.768999999	1400938.314	3141	23.667317	-109.69622199999999	23.582287	-109.70406200000001	832.176686	23.636485	-109.691317	-6501919.661	1401045.506	3175	0	Vent	51	4.8301786211874855	5048.859862772551	6.067052763807602	0	NotEquant	28.0	2.0	2.0
51	51	-113.042142	27.62705	-6700538.75	1637585.033	2862	27.616571999999998	-113.087973	27.62215	-113.023296	242.34992599999998	27.621921999999998	-113.08776200000001	-6703242.875	1637281.0869999998	2870	0	Vent	52	84.42560004490267	3406.6796218733725	14.0568626452701	0	NotEquant	1.0	2.0	2.0
52	52	-113.143873	27.589326	-6706568.877	1635348.951	2905	27.575983	-113.158045	27.584878000000003	-113.143873	176.865557	27.573121999999998	-113.15343899999999	-6707135.865	1634388.456	2917	0	Vent	53	54.69383689908458	910.691562717098	5.149061118310888	0	NotEquant	85.0	2.0	2.0
53	53	-112.629958	26.893246	-6676106.717	1594089.029	2910	26.871913	-112.668252	26.903724	-112.588649	366.70876200000004	26.901740999999998	-112.59769299999999	-6674194.188999999	1594592.549	2920	0	Vent	54	65.84682920055339	4603.064426316953	12.55237099111625	0	NotEquant	18.0	2.0	2.0
54	54	-112.219854	25.989424	-6651797.911	1540515.254	3031	25.957349	-112.31975200000001	26.010173	-112.1984	258.63011	25.988495999999998	-112.19886699999999	-6650553.922	1540460.247	3037	0	Vent	55	64.13512350153171	7171.142209330375	27.7274065627176	0	NotEquant	24.0	2.0	2.0
55	55	-111.81261699999999	25.747662	-6627659.031	1526184.8590000002	3113	25.76176	-111.824752	25.727853	-111.81118899999998	276.564295	25.745592000000002	-111.80918999999999	-6627455.931	1526062.1519999998	3114	0	Vent	56	-19.817055755793717	2132.4082703001636	7.71035274202754	0	NotEquant	24.0	2.0	2.0
56	56	-114.02060300000001	28.355340999999996	-6758536.731000001	1680754.2480000001	2643	28.334460999999997	-114.05915	28.381217	-113.970277	356.880429	28.363764	-114.019603	-6758477.494	1681253.5359999998	2704	0	Vent	57	59.10618836340776	5391.192737040883	15.106439857594106	0	NotEquant	15.0	2.0	2.0
57	57	-114.227851	27.770551	-6770821.302	1646091.0019999999	2628	27.750860999999997	-114.234677	27.793840000000003	-114.22530800000001	266.956831	27.752847999999997	-114.22885	-6770880.539	1645041.65	2630	0	Vent	58	10.914907708848189	2589.7933390636167	9.70116902183191	0	NotEquant	1.0	2.0	2.0
58	58	-113.199347	25.432665	-6709857.055	1507513.551	2844	25.387381	-113.210203	25.494308	-113.189532	337.470398	25.456579	-113.198348	-6709797.817000001	1508931.021	2879	0	Vent	59	9.898041718106501	6422.192153368946	19.030386639627412	0	NotEquant	68.0	2.0	2.0
59	59	-106.807257	3.14738	-6330967.871	186560.0002	5828	3.1227669999999996	-106.816478	3.15489	-106.809191	321.62486	3.136661	-106.8069	-6330946.714	185924.6067	5836	0	Vent	60	12.762313986372385	1948.756458222345	6.059097727154377	0	NotEquant	122.0	3.0	3.0
60	60	-106.766522	2.720868	-6328553.272999999	161278.6368	5762	2.707409	-106.770983	2.7212400000000003	-106.768752	163.572044	2.714372	-106.771376	-6328840.999	160893.5926	5762	0	Vent	61	9.152969388877892	828.8883132696775	5.06742040387829	0	NotEquant	105.0	3.0	3.0
61	61	-106.64008500000001	2.417064	-6321058.785	143270.7536	5713	2.409703	-106.65332099999999	2.413569	-106.63354199999999	188.173273	2.410069	-106.658794	-6322167.726	142856.0906	5718	0	Vent	62	78.93043383110626	1191.3852236923199	6.331320089714972	0	NotEquant	40.0	3.0	3.0
62	62	-106.89901299999998	2.233286	-6336406.653	132377.3565	5621	2.213879	-106.909423	2.240201	-106.896782	375.949905	2.229788	-106.89473000000001	-6336152.777000001	132170.025	5625	0	Vent	63	25.635262010714325	1727.4246324745004	4.594826623176033	0	NotEquant	12.0	3.0	3.0
63	63	-106.70708300000001	2.08272	-6325030.043	123452.582	5637	2.178553	-106.652984	2.027457	-106.737693	170.713061	2.1752569999999998	-106.65318400000001	-6321835.197000001	128937.6763	5662	0	Vent	64	29.26141420047844	10247.274476888022	60.02630622907067	0	NotEquant	7.0	3.0	3.0
64	64	-106.56751299999999	1.991343	-6316757.078	118036.2309	5627	1.996176	-106.57911299999999	1.968961	-106.553385	123.36121999999999	1.9972290000000001	-106.58150400000001	-6317586.404	118385.1683	5631	0	Vent	66	-43.374486583253486	2215.23170945092	17.957277898604765	0	NotEquant	1.0	3.0	3.0
